Name,Algorithm,Reduced,Iterations,Time
160938_3,simple greedy,False,2,4.781212568283081
3099_2,simple greedy,True,14,33.556119441986084
164024_1,simple greedy,True,8,20.24693489074707
61905_3,simple greedy,True,10,23.87915325164795
85080_3,simple greedy,True,1,2.6279819011688232
121412_3,simple greedy,True,4,9.538502216339111
121909_2,simple greedy,True,17,41.053126096725464
163306_2,simple greedy,True,1,2.5641419887542725
43036_2,simple greedy,True,8,19.724252939224243
94938_1,simple greedy,True,2,4.597713232040405
102975_3,simple greedy,True,3,7.133923053741455
109726_3,simple greedy,True,7,16.10992670059204
87219_2,simple greedy,True,6,15.382505416870117
49545_2,simple greedy,True,12,28.979904413223267
7337_3,simple greedy,True,13,31.346187829971313
31713_1,simple greedy,True,10,24.3399555683136
56419_3,simple greedy,True,10,25.172711610794067
68819_2,simple greedy,True,3,7.145899772644043
94468_1,simple greedy,True,10,23.957947969436646
170869_2,simple greedy,True,3,7.501446723937988
173423_3,simple greedy,True,8,18.472628116607666
166477_3,simple greedy,True,6,15.440860271453857
3551_2,simple greedy,True,1,2.293905019760132
132121_3,simple greedy,True,14,34.90528917312622
160791_2,simple greedy,True,9,22.137099266052246
94431_1,simple greedy,True,9,20.958999156951904
157603_1,simple greedy,True,4,9.770875692367554
104596_1,simple greedy,True,6,14.569036960601807
147607_3,simple greedy,True,9,23.126163721084595
25246_2,simple greedy,True,11,26.917063236236572
157337_2,simple greedy,True,11,28.478843212127686
163162_3,simple greedy,False,11,25.86110496520996
143996_2,simple greedy,True,7,16.81071138381958
126081_1,simple greedy,True,5,12.835682153701782
158564_1,simple greedy,True,2,4.790189027786255
53124_3,simple greedy,True,13,31.95867943763733
49092_3,simple greedy,True,17,39.82903504371643
83792_1,simple greedy,True,10,23.73056125640869
139747_3,simple greedy,True,23,55.45960521697998
155452_3,simple greedy,True,13,30.757768392562866
89053_1,simple greedy,True,7,16.26288866996765
123580_1,simple greedy,True,8,19.007219552993774
140099_1,simple greedy,True,3,7.258591413497925
167221_3,simple greedy,True,6,14.594218969345093
153580_3,simple greedy,True,3,7.378014802932739
20399_3,simple greedy,True,13,32.57818293571472
131736_3,simple greedy,True,22,53.732399463653564
62310_3,simple greedy,True,9,24.13146996498108
54263_1,simple greedy,True,10,25.667273998260498
67058_2,simple greedy,False,12,25.739189863204956
156844_2,simple greedy,True,13,32.01183080673218
77671_1,simple greedy,True,10,23.78041124343872
145085_2,simple greedy,True,10,25.094409465789795
28069_3,simple greedy,True,22,50.97379112243652
167392_1,simple greedy,True,22,52.799360036849976
79180_1,simple greedy,True,5,12.324045658111572
79875_3,simple greedy,True,13,31.23062038421631
19114_3,simple greedy,True,10,26.530183792114258
73635_1,simple greedy,True,15,37.70222020149231
45823_2,simple greedy,True,3,6.972353935241699
92261_2,simple greedy,True,4,9.150535821914673
155482_3,simple greedy,False,28,67.27925777435303
83843_3,simple greedy,True,8,20.39350652694702
8481_1,simple greedy,True,11,26.60900592803955
128361_1,simple greedy,True,15,36.53336429595947
169263_2,simple greedy,True,5,12.345982313156128
11186_3,simple greedy,True,13,31.210557222366333
162873_3,simple greedy,True,4,9.824721336364746
107657_3,simple greedy,True,10,25.781510591506958
172583_1,simple greedy,True,14,34.24253606796265
65327_3,simple greedy,True,25,60.438475608825684
7525_1,simple greedy,True,18,40.29035568237305
107908_1,simple greedy,True,2,4.839069128036499
115342_1,simple greedy,True,8,19.92020893096924
129880_2,simple greedy,True,7,17.6009304523468
142455_1,simple greedy,True,10,24.628647565841675
164748_1,simple greedy,False,8,18.472604274749756
170231_2,simple greedy,True,1,2.797518730163574
43640_2,simple greedy,True,3,7.139904975891113
